index,formula,score,Eform
110,32-BiClF6-216-6338064,0.999960184,0.00175149
111,32-BiIF6-216-408574,0.999985814,0.001942423
112,32-BiIF6-216-7529649,0.999958158,0.000354543
113,32-BIO6-216-2452622,0.999967456,-0.001704465
114,32-BIO6-216-5525591,1,-0.001669252
115,32-BiWO6-216-1301785,0.999995828,-0.001822667
116,32-BOF6-216-5507631,0.999932766,-0.001364347
117,32-BPdO6-216-5383992,0.999999166,-0.001734554
118,32-BrClO6-216-1162857,0.999942541,-0.004735556
119,32-BrClO6-216-5964139,0.999999762,-0.001823907
120,32-BrClO6-216-7890133,0.999999881,-0.001830223
121,32-BrOF6-216-3476463,0.999965072,-0.001338347
122,32-BSbF6-216-1410282,0.999993205,0.001546898
123,32-BSbF6-216-4547474,0.99999845,0.0014913
124,32-BSbF6-216-5117752,0.9999789,0.001599553
125,32-BSeF6-216-3344995,0.999935746,0.001939832
126,32-BSeF6-216-3535903,0.999976993,0.001924494
127,32-BSeF6-216-3908735,0.999974966,0.001903502
128,32-BSF6-216-6860743,0.99997282,0.002370727
129,32-BSO6-216-7222587,0.999999881,-0.00137522
130,32-CaCdF6-216-1041231,0.999946952,0.001187088
131,32-CaCdF6-216-1443244,0.999996781,0.001257527
132,32-CaNbO6-216-7863417,0.999994278,-0.001977644
133,32-CaPmO6-216-8337554,0.999967456,-0.001892894
134,32-CaPuF6-216-3405629,0.9999789,0.00221908
135,32-CaTeO6-216-4677113,0.999995828,-0.002628299
136,32-CaTeO6-216-7324886,0.999999762,-0.001843173
137,32-CBrF6-225-1128163,0.9999789,0.000698025
138,32-CBrF6-225-7544113,0.999948859,-0.000360521
139,32-CClF6-225-4766864,0.99998951,-0.000800508
140,32-CClF6-225-8861708,0.999974608,-0.000342246
141,32-CdBF6-225-8028765,0.999977112,0.000980003
142,32-CdCF6-216-5541820,0.999983311,-0.002888629
143,32-CdSF6-216-1243475,0.999985933,-0.001943844
144,32-CdSF6-216-1318117,0.999972343,-0.000891268
145,32-CeAgF6-216-4238126,0.99999845,0.001456031
146,32-CeClO6-216-5899813,0.999999762,-0.001925345
147,32-CeCO6-216-137504,0.999999642,-0.00293561
148,32-CeCO6-216-708656,0.999987125,-0.002932367
149,32-CeErF6-216-494610,0.999985576,0.001840817
150,32-CeErF6-216-9682080,0.999992728,0.001818645
151,32-CeMgO6-216-5546623,0.999941826,-0.002469296
152,32-CeNbO6-216-5184357,0.999958038,-0.002754353
153,32-CeNbO6-216-7699380,0.999940038,-0.002411456
154,32-CeNdF6-225-4772932,0.999958754,-0.000308532
155,32-CePmF6-225-8858188,0.999969125,-0.000456905
156,32-CePmF6-225-8959515,0.999935508,0.001402942
157,32-CePrO6-216-1124048,0.99998951,-0.002203719
158,32-CePrO6-216-8508957,0.999991059,-0.001964637
159,32-CeSbO6-216-5674821,0.99999845,-0.002172086
160,32-CeSeO6-216-9202415,0.999951243,-0.001871232
161,32-CeUF6-216-684876,0.999948144,0.001439569
162,32-CeZrF6-216-6651080,0.999985933,0.001492657
163,32-CIF6-225-8806765,0.999999285,8.67E-05
164,32-CNF6-225-883646,0.999943376,0.000615453
165,32-CO6F-225-2339130,0.999998331,-0.003759569
166,32-CO6F-225-543279,0.999999166,-0.00272408
167,32-CrIO6-216-6281500,0.999982834,-0.001636735
168,32-CrRuO6-216-4629914,0.999938726,-0.001898192
169,32-CrRuO6-216-7095594,0.999998569,-0.001984005
170,32-CrSnO6-216-616033,1,-0.001653755
171,32-CrSnO6-225-3825815,0.999997854,-0.001669496
172,32-CsBaO6-216-1298682,0.999956608,-0.001791833
173,32-CsBeF6-216-2610283,0.999953985,0.001403873
174,32-CsBeF6-216-4520703,0.99998498,0.000493056
175,32-CsClF6-216-3395081,0.999979734,0.001808347
176,32-CsClF6-216-341828,0.999962687,0.001708006
177,32-CsClF6-216-7338657,0.999984026,0.000455969
178,32-CsNdO6-216-2027262,0.999991775,-0.00168495
179,32-CsNdO6-216-955802,0.999984264,-0.001768761
180,32-CsNO6-216-2884760,0.999999881,-0.002048462
181,32-CsNO6-216-5498913,0.999958754,-0.002127879
182,32-CsSeF6-225-8261424,0.999955893,0.001156269
183,32-CsSnF6-216-623088,0.999995232,0.000399501
184,32-CsSnF6-216-6735757,0.999979734,0.001945911
185,32-CsSrO6-216-4564807,0.999999642,-0.002040964
186,32-CsSrO6-216-4862714,0.99992907,-0.002093373
187,32-CsTaF6-216-2175522,0.999963999,0.000515465
188,32-CsTaF6-216-3850164,0.999987602,0.000687192
189,32-CsTeF6-216-3254119,0.999952793,0.00131621
190,32-CsTeF6-216-6389648,0.999948382,-0.001614326
191,32-DyAsF6-216-3103454,0.999973655,-0.001008279
192,32-DyBrF6-216-2136605,0.999970913,-0.001298549
193,32-DyCF6-225-450426,0.999975681,-0.001347166
194,32-DyCF6-225-5830740,0.999979734,-0.001478666
195,32-DyCF6-225-7879190,1,-0.000763844
196,32-DyFeO6-225-8333924,0.999927521,-0.002409306
197,32-DyHgF6-216-116679,0.999928117,-0.000690471
198,32-DyHgF6-216-6551321,0.999948978,-0.001149658
199,32-DyInF6-216-8915315,0.99998486,-0.001529455
200,32-DyInF6-216-9359069,0.999981165,0.000971666
201,32-DyIO6-216-3353812,0.99996841,-0.002528252
202,32-DyIO6-216-9784265,0.999987841,-0.002120511
203,32-DyIrO6-216-1411908,0.999963641,-0.003672584
204,32-DyLuF6-216-3671002,0.999957919,0.001576649
205,32-DyLuF6-216-4534527,0.999955535,0.001582532
206,32-DyLuF6-216-9031335,0.999998927,0.001502353
207,32-DyPdO6-216-7860231,0.999999642,-0.002252945
208,32-DyRhO6-216-4941278,0.999994516,-0.003094449
209,32-DyRhO6-216-9505156,0.999940515,-0.003075272
210,32-DySeF6-216-4301787,0.999973893,0.001395238
211,32-DySiF6-216-2648447,0.999999881,0.001113288
212,32-DyTeO6-216-1539754,0.999943018,-0.002663081
213,32-DyTlF6-225-4662311,0.999997377,0.000106102
214,32-DyWO6-216-3904788,0.999925137,-0.002232801
215,32-ErAgF6-216-372247,0.999926567,0.001862406
216,32-ErAgF6-216-6369139,0.999947429,0.001794083
217,32-ErBeF6-216-8135555,0.999969244,0.001649778
218,32-ErBrF6-216-4277527,0.999997377,0.002029385
219,32-ErClF6-225-5908278,0.999976635,0.001304357
220,32-ErClF6-225-8402030,0.999970555,0.001187453
221,32-ErLuF6-216-2331518,0.999954462,0.001847103
222,32-ErLuF6-216-7151943,0.999985218,0.002203533
223,32-ErNF6-216-6571027,0.999994755,-0.000915493
224,32-ErNpO6-216-6471154,0.999979496,-0.002035875
225,32-ErSbO6-216-5271782,0.999948978,-0.001944216
226,32-ErSiO6-225-9856985,0.999953985,-0.002705876
227,32-ErSnF6-225-3256350,0.999967456,0.000798278
228,32-ErSnF6-225-4018933,0.999994636,0.001295689
229,32-ErThF6-225-5659548,0.999999881,0.001838282
230,32-ErUO6-216-134746,0.999998689,-0.001899411
231,32-EuHgO6-216-7296342,0.999973416,-0.00176649
232,32-EuHgO6-216-9973829,0.999941707,-0.002244516
233,32-EuIF6-225-4834310,0.999960184,0.001236899
234,32-EuIO6-216-4342160,0.999989986,-0.001991704
235,32-EuNiO6-216-5315426,0.999997377,-0.002941542
236,32-EuO6F-216-8701505,0.999961019,-0.001838936
237,32-EuPtO6-216-9179639,0.999944329,-0.00230711
238,32-EuSF6-225-7640149,0.999997377,0.001383486
239,32-EuWO6-216-6839455,0.999970436,-0.001797287
240,32-EuWO6-216-8859991,0.999999404,-0.0017832
241,32-EuYO6-216-4267174,0.999999404,-0.002138211
242,32-EuYO6-216-9587015,0.999956846,-0.002177437
243,32-EuZrF6-216-4885342,0.999981523,0.001417968
244,32-FeBF6-225-2095878,0.999952078,0.001729179
245,32-FeO6F-225-1354116,0.999996901,-0.001812342
246,32-FePO6-216-1888842,0.999983311,-0.002119698
247,32-FeWO6-216-8290729,0.999984384,-0.001751563
248,32-GaNiO6-216-63031,0.999992371,-0.003158972
249,32-GaNO6-216-2354811,0.99999404,-0.002304592
250,32-GaOsO6-216-364412,0.999998569,-0.002386803
251,32-GaPdO6-216-3622550,0.999999046,-0.002045444
252,32-GaPdO6-216-5304827,0.999924541,-0.002048918
253,32-GaSiF6-225-7944308,0.999957681,0.00065765
254,32-GaSiO6-216-696855,0.999958992,-0.00236308
255,32-GaSnF6-216-6648262,0.999998093,0.001576336
256,32-GdAgO6-216-7590843,0.999998569,-0.002243816
257,32-GdAgO6-216-8316153,0.999980569,-0.002245908
258,32-GdBeF6-225-8518257,0.99999547,0.001128536
259,32-GdBrO6-216-9658894,0.999971747,-0.002076375
260,32-GdGaO6-216-4815309,0.999997616,-0.002786229
261,32-GdGaO6-216-7815174,0.999992251,-0.002401022
262,32-GdPdF6-216-8608643,0.999973297,0.00163006
263,32-GdPO6-216-1710800,0.999999762,-0.002625693
264,32-GdRhO6-216-7168506,0.999953508,-0.002825488
265,32-GdSbO6-216-3683775,0.999931693,-0.002713178
266,32-GdTaF6-216-1142343,0.999960065,0.001433823
267,32-GdTaF6-216-509840,0.999970555,0.001266344
268,32-GdTaF6-216-8068141,0.999923229,0.000689644
269,32-GdYF6-216-5849317,0.999942303,-0.000927252
270,32-GdZrF6-216-3823813,0.999991298,0.001405633
271,32-GdZrF6-216-9902196,0.999976039,0.001382711
272,32-GePdF6-216-737402,0.99998188,0.001244398
273,32-GeSbF6-216-4550801,0.999941468,0.000928734
274,32-GeSeF6-216-4548042,0.999947667,0.001238012
275,32-GeSeF6-216-5680202,0.999983549,0.000733263
276,32-HfCdF6-225-4314783,0.999974251,-3.66E-05
277,32-HfCdF6-225-4616747,0.999949694,0.000467955
278,32-HfInF6-216-5835008,0.999971747,-0.001186177
279,32-HfInF6-216-8565260,0.999921679,-0.001102656
280,32-HfMoO6-216-8095454,0.99999702,-0.00253432
281,32-HfNiO6-216-3147821,0.99998045,-0.003097194
282,32-HfOF6-216-2765821,0.999981999,0.001090852
283,32-HfPdF6-216-1731948,0.999974251,0.001702979
284,32-HfPdF6-216-6174678,0.999944568,-0.000289143
285,32-HfRhF6-216-9681859,0.999996066,0.00085906
286,32-HfRuO6-216-563620,0.999997973,-0.002168897
287,32-HfRuO6-216-6611507,0.999951839,-0.002208404
288,32-HfTeF6-216-8205116,0.999998331,0.00133599
289,32-HfZrO6-216-338567,0.99995935,-0.002343135
290,32-HgAuF6-216-2354948,0.999960899,0.001525236
291,32-HgAuF6-216-8567450,0.999943972,0.001522614
292,32-HgBrF6-216-2226158,0.999925852,-0.000516523
293,32-HgBrF6-216-441868,0.999976635,0.002076096
294,32-HgBrF6-216-8873851,0.99995029,0.001887379
295,32-HgBrF6-225-8437683,0.999991655,0.001174002
296,32-HgCO6-216-2971966,0.999999523,-0.002689862
297,32-HgCO6-216-3717367,0.999998808,-0.002648417
298,32-HgCO6-216-7410490,0.999999523,-0.002629633
299,32-HgNO6-216-3051352,0.999922276,-0.001831173
300,32-HgPF6-216-9990044,0.999998927,-0.00052897
301,32-HgRhO6-216-6961675,0.99998939,-0.002400766
302,32-HgSF6-225-7176592,0.999988437,0.002016022
303,32-HoBeO6-216-3400919,0.999976993,-0.003129655
304,32-HoBeO6-216-5677621,0.999956131,-0.002460339
305,32-HoErF6-225-2363863,0.999980092,0.000840395
306,32-HoErF6-225-5119254,0.99999392,-3.26E-07
307,32-HoHfO6-225-7534541,0.999989986,-0.002355973
308,32-HoIF6-216-7397916,0.999940515,0.001799178
309,32-HoIF6-216-8828554,0.999959946,0.001895943
310,32-HoInF6-216-2101911,0.999925613,0.00131514
311,32-HoInF6-216-5490788,0.999932051,-0.000658849
312,32-HoInF6-225-1035520,0.99998641,-7.09E-05
313,32-HoNbO6-216-2422438,0.999946833,-0.003019285
314,32-HoPaF6-216-7889544,0.999970078,0.001502468
315,32-HoPbO6-225-3530621,0.999967337,-0.001932205
316,32-HoPuO6-216-9687042,0.999998331,-0.002520529
317,32-HoSbF6-225-1309161,0.999923587,0.000720135
318,32-HoSbF6-225-2322860,0.999933839,0.001257424
319,32-InAsF6-216-3179730,0.999974847,-0.000427613
320,32-InBiF6-216-130654,0.999974966,0.001370438
321,32-InBiF6-216-3193055,0.999997973,0.001371185
322,32-InClO6-216-3981668,0.99997139,-0.002729817
323,32-InClO6-225-5194172,0.999979138,-0.003048915
324,32-InClO6-225-9263717,0.999960423,-0.002218696
325,32-InNiO6-216-7046696,0.999942064,-0.003177732
326,32-InOsF6-225-310978,0.999929428,0.001142243
327,32-InRuF6-216-1492937,1,0.001392816
328,32-InSeO6-216-1315209,0.999999046,-0.002116595
329,32-InSiO6-216-8635354,0.999964237,-0.002460137
330,32-InSiO6-216-9623475,0.999989033,-0.002390812
331,32-IOF6-216-6234571,0.999932647,0.001429757
332,32-KMgF6-216-5860294,0.999958754,0.001168189
333,32-KPF6-216-498435,1,0.00147372
334,32-KRuO6-225-8757426,0.999965072,-0.002028316
335,32-KSrF6-216-4520220,0.999998808,0.00154617
336,32-KZnO6-216-8608209,0.999991059,-0.00224507
337,32-LaAsO6-216-9983529,0.999929667,-0.001628069
338,32-LaCdF6-225-2105386,0.999929905,0.00043233
339,32-LaCdF6-225-3732896,0.999947071,-0.000232841
340,32-LaDyF6-216-6138273,0.999973297,-0.000458093
341,32-LaErF6-225-8887569,0.999996543,0.000690972
342,32-LaEuO6-216-2994727,0.999969482,-0.001843322
343,32-LaHoF6-216-1928655,0.999947548,0.001633615
344,32-LaHoF6-216-5821238,0.9999789,-0.000105975
345,32-LaHoF6-216-891581,0.999981999,0.001748741
346,32-LaHoF6-216-8929272,0.999961376,0.001736844
347,32-LaMoO6-216-6935682,0.999974251,-0.00233071
348,32-LaSbF6-216-5806241,0.999960661,0.001741515
349,32-LaYbF6-216-2941951,0.999959111,0.001735551
350,32-LaYbF6-216-5965355,0.999945045,0.001693011
351,32-LiIF6-216-9726348,0.999982238,0.001936653
352,32-LiPbO6-216-5427758,0.999943018,-0.001698595
353,32-LiTlO6-216-796645,0.999981284,-0.001414305
354,32-LuBrF6-225-4932378,0.999932528,0.000739445
355,32-LuCdF6-216-8604234,0.999979854,0.001211484
356,32-LuClO6-216-2130006,0.999932885,-0.001483068
357,32-LuMgF6-216-2145344,0.999923468,0.001619247
358,32-LuMgO6-216-6816408,0.999985933,-0.002643322
359,32-LuPaO6-216-4035332,0.999999046,-0.001653035
360,32-LuPaO6-216-574334,0.999999881,-0.001695548
361,32-LuPdO6-216-1822521,0.999990344,-0.001462428
362,32-LuScO6-216-469759,0.999980927,-0.001642316
363,32-LuSeO6-216-1999103,0.999997973,-0.001922622
364,32-LuSiO6-216-212274,0.999961257,-0.001816956
365,32-LuSnO6-216-5356638,0.999962807,-0.001868743
366,32-LuSnO6-216-6217567,0.999945045,-0.001737457
367,32-LuSO6-225-6679490,0.999998331,-0.001730796
368,32-LuTcO6-216-9207148,0.999988198,-0.001888322
369,32-LuThF6-225-7638174,0.999927759,0.002002132
370,32-LuTlF6-225-903266,0.999940038,0.002139462
371,32-LuZnF6-225-266052,0.999945402,0.001527198
372,32-MgCF6-225-6809703,0.999996662,-0.003547655
373,32-MgCO6-216-5074622,0.999979734,-0.003337477
374,32-MnBiO6-216-1619119,0.99999845,-0.001984076
375,32-MnBiO6-216-3741573,0.999993205,-0.00197562
376,32-MnBO6-216-1644892,0.999996901,-0.001869253
377,32-MnBO6-216-9690462,0.999993324,-0.001875578
378,32-MnGeO6-216-5093820,0.999974847,-0.002550534
379,32-MnGeO6-216-722691,0.999992013,-0.002544197
380,32-MoBrO6-216-1679479,0.999999762,-0.002237247
381,32-MoBrO6-216-7643956,0.999999881,-0.002252639
382,32-MoBrO6-216-8502575,0.99999845,-0.002266437
383,32-MoNO6-216-4554686,0.99997437,-0.002360556
384,32-MoPF6-216-8315982,0.999971986,0.001121886
385,32-NaClF6-216-292012,0.999969125,0.002288643
386,32-NaClF6-216-3618818,0.999999762,0.002302995
387,32-NaLuO6-216-2308139,0.999959707,-0.001122776
388,32-NaMgO6-216-2495456,0.99993372,-0.001908555
389,32-NaTlO6-216-1080470,0.999964833,-0.001390172
390,32-NbAgO6-216-9424422,0.999997973,-0.002449812
391,32-NbAlO6-216-7882862,0.999998927,-0.002229344
392,32-NbPbO6-216-1610156,0.999998689,-0.00212963
393,32-NbPdO6-216-9042817,0.999954581,-0.002171497
394,32-NbPF6-216-241332,0.999999881,0.001123637
395,32-NbPO6-225-8876998,0.999995351,-0.002448201
396,32-NbWO6-216-8538789,0.999997973,-0.002115246
397,32-NClF6-225-4867527,0.99999392,0.001734292
398,32-NClF6-225-6021834,0.999961734,-0.000550226
399,32-NdAuF6-216-5475391,0.999998808,0.001647533
400,32-NdBiO6-216-1288966,0.99997282,-0.001737977
401,32-NdBiO6-216-6065035,0.999999642,-0.002229731
402,32-NdBiO6-216-9650387,0.999946117,-0.00171064
403,32-NdCdO6-216-6332844,0.999989629,-0.003490801
404,32-NdCF6-225-8027336,0.999983788,0.000901296
405,32-NdCF6-225-9721088,0.99998188,-2.69E-05
406,32-NdGdF6-216-3170210,0.999970198,0.00178571
407,32-NdGdF6-216-9288070,0.999981403,0.001811793
408,32-NdGdO6-216-35686,0.99998641,-0.002272378
409,32-NdGdO6-216-394752,0.99995482,-0.00181212
410,32-NdHfF6-225-463633,0.999995947,0.001805123
411,32-NdHoO6-216-8995969,0.999934196,-0.001800166
412,32-NdLuF6-225-1313185,0.999959946,0.002453978
413,32-NdSeF6-216-3617358,0.999971986,0.002131322
414,32-NiBF6-216-7753325,0.999989033,0.000207507
415,32-NiClO6-216-7504562,0.999997258,-0.002812375
416,32-NiSnO6-216-9484823,0.999996305,-0.002713285
417,32-NpAuO6-216-9632962,0.999994636,-0.002651423
418,32-NpClF6-216-4668304,0.999994755,0.001328129
419,32-NpClF6-216-6807327,0.999962568,0.000743843
420,32-NpClO6-216-2311369,0.999989271,-0.00227616
421,32-NpClO6-216-5366433,0.999997735,-0.002838088
422,32-NpPaO6-216-384470,0.99995625,-0.002349265
423,32-NpReO6-216-2477196,0.999982953,-0.00334083
424,32-NpReO6-216-3397784,0.999942303,-0.003235074
425,32-NpSnF6-216-4968160,0.9999367,0.001659114
426,32-NpSnF6-216-7509640,0.999971151,0.001625317
427,32-NpTaO6-225-1007592,0.999973297,-0.002501401
428,32-NpTiF6-216-3298197,0.999951482,0.001087027
429,32-NpTiF6-216-6484934,0.999997973,0.001099516
430,32-OsBrO6-216-1145131,0.999952316,-0.002079672
431,32-OsCF6-216-3515871,0.999977112,0.000496038
432,32-OsIF6-216-8581822,0.999970078,0.001819624
433,32-PaBiO6-216-2453353,0.999998093,-0.002636144
434,32-PaClO6-225-2674991,0.999999762,-0.002394012
435,32-PaCO6-216-2969992,0.999990821,-0.002912559
436,32-PaCO6-216-3190859,0.999983072,-0.003776586
437,32-PaIF6-216-9003225,0.999999046,0.001840833
438,32-PaIO6-216-3276631,0.999949098,-0.00170746
439,32-PaMoF6-216-2581988,0.99999845,0.001262846
440,32-PaSbO6-216-1472472,0.999997377,-0.002185114
441,32-PaSbO6-216-2044688,0.999961138,-0.00218241
442,32-PaSeO6-216-7469174,0.999987245,-0.00587145
443,32-PaSnF6-216-224679,0.999973893,0.001879228
444,32-PaSnF6-216-486561,0.999934554,0.001884868
445,32-PAuF6-216-2339200,0.999973297,-0.001575563
446,32-PAuF6-216-2370386,0.999939561,0.001224905
447,32-PAuF6-216-7872335,0.999943733,0.001140993
448,32-PbSF6-216-4415693,0.999926925,0.001180294
449,32-PbSF6-216-6357784,0.999976397,0.002554127
450,32-PbSF6-216-8318656,0.999984384,0.001708961
451,32-PbSF6-216-9055335,0.999999881,0.000537072
452,32-PdIO6-216-977172,0.999987125,-0.001543512
453,32-PdPtF6-216-4610070,0.999954224,0.002235379
454,32-PdPtF6-216-8705003,0.999999762,0.002307259
455,32-PdRhO6-216-1476265,0.999999881,-0.002482879
456,32-PdRhO6-216-1591795,0.999999762,-0.002520679
457,32-PdSeO6-216-2318371,0.999997258,-0.001658643
458,32-PdSeO6-216-9242144,0.999999285,-0.001701705
459,32-PIrO6-216-3381513,0.999959826,-0.002744439
460,32-PmAuO6-225-3036608,0.999999762,-0.002804482
461,32-PmBrO6-216-1815872,0.999976039,-0.002285238
462,32-PmCF6-216-2007774,0.999987721,-0.002349973
463,32-PmCF6-216-4310628,0.999926329,-0.000254037
464,32-PmErO6-216-4992837,0.999999881,-0.002113421
465,32-PmErO6-216-8459742,0.999951363,-0.002051787
466,32-PmHgF6-216-1346428,0.999957681,0.001061638
467,32-PmHgF6-216-5709310,0.999933839,0.001663069
468,32-PmHgF6-216-6974846,0.999980688,0.001650181
469,32-PmHgO6-216-1226797,0.999960661,-0.002593619
470,32-PmInF6-225-2483696,0.999982595,-0.00114756
471,32-PmNdO6-216-3552710,0.999931216,-0.002057381
472,32-PmNdO6-216-3934714,0.999999642,-0.002472576
473,32-PmNdO6-216-4144600,0.999973059,-0.002014263
474,32-PmNdO6-216-4422605,0.999939203,-0.002059476
475,32-PmNF6-216-600203,0.999979973,-0.001910339
476,32-PmNiO6-216-5490066,0.999989271,-0.003851567
477,32-PmPtO6-216-4602621,0.999971986,-0.002544291
478,32-PmPtO6-216-5230575,0.99992156,-0.002369745
479,32-PmSF6-225-1785395,0.999961138,0.001781497
480,32-PmSF6-225-3988964,0.999953747,0.001040664
481,32-PmSiO6-225-695119,0.999980569,-0.003317894
482,32-PmSnF6-216-1904811,0.999962687,0.001651966
